Domain,Response,Feedback
Suitable Items,2.0,2
Feasible Agenda,2.0,
Coherent and dynamic formulation,2.0,
Appropriate Intervention Targets,2.0,
Choosing Suitable Interventions,2.0,
Rationale for Interventions,2.0,
Implementing Interventions,2.0,
Reviewing Interventions,2.0,
Reviewing Homework,2.0,
Choosing Suitable Homework,2.0,
Rationale for Homework,2.0,
Planning Homework,2.0,
Choosing Suitable Measures,2.0,
Implementing Measures,2.0,
Pace,2.0,
Time Management,2.0,
Maintained Focus,2.0,
Interpersonal style,2.0,
Empathic Understanding,2.0,
Collaboration,2.0,
Patient Feedback,4.0,
Reflective Summaries,4.0,
Total Score,48.0,sssss
